?biological_process	?bp_iri	?expr_genes	?total_genes	?ratio
"regulation of T cell receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0050856>	1	53	0.018867924528301886792452
"regulation of extrinsic apoptotic signaling pathway in absence of ligand"	<http://purl.obolibrary.org/obo/GO_2001239>	1	53	0.018867924528301886792452
"regulation of triglyceride metabolic process"	<http://purl.obolibrary.org/obo/GO_0090207>	1	53	0.018867924528301886792452
"retinol metabolic process"	<http://purl.obolibrary.org/obo/GO_0042572>	1	53	0.018867924528301886792452
"regulation of cell population proliferation"	<http://purl.obolibrary.org/obo/GO_0042127>	44	2339	0.018811457887986318939717
"mechanoreceptor differentiation"	<http://purl.obolibrary.org/obo/GO_0042490>	2	107	0.018691588785046728971962
"neurotransmitter transport"	<http://purl.obolibrary.org/obo/GO_0006836>	6	321	0.018691588785046728971962
"neuron projection morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048812>	11	593	0.018549747048903878583473
"blastocyst hatching"	<http://purl.obolibrary.org/obo/GO_0001835>	1	54	0.018518518518518518518518
"hair cycle"	<http://purl.obolibrary.org/obo/GO_0042633>	2	108	0.018518518518518518518518
"negative regulation of calcium ion transmembrane transport"	<http://purl.obolibrary.org/obo/GO_1903170>	1	54	0.018518518518518518518518
"negative regulation of leukocyte migration"	<http://purl.obolibrary.org/obo/GO_0002686>	1	54	0.018518518518518518518518
"positive regulation of immunoglobulin mediated immune response"	<http://purl.obolibrary.org/obo/GO_0002891>	1	54	0.018518518518518518518518
"positive regulation of phospholipase activity"	<http://purl.obolibrary.org/obo/GO_0010518>	1	54	0.018518518518518518518518
"positive regulation of signaling receptor activity"	<http://purl.obolibrary.org/obo/GO_2000273>	1	54	0.018518518518518518518518
"protein localization to centrosome"	<http://purl.obolibrary.org/obo/GO_0071539>	1	54	0.018518518518518518518518
"purine ribonucleoside monophosphate biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0009168>	1	54	0.018518518518518518518518
"regulation of calcium ion import"	<http://purl.obolibrary.org/obo/GO_0090279>	1	54	0.018518518518518518518518
"cellular response to DNA damage stimulus"	<http://purl.obolibrary.org/obo/GO_0006974>	24	1302	0.018433179723502304147465
"regulation of cell-matrix adhesion"	<http://purl.obolibrary.org/obo/GO_0001952>	3	163	0.018404907975460122699386
"regulation of angiogenesis"	<http://purl.obolibrary.org/obo/GO_0045765>	8	435	0.018390804597701149425287
"positive regulation of gene expression"	<http://purl.obolibrary.org/obo/GO_0010628>	51	2782	0.018332135154565061107117
"regulation of cytokine secretion"	<http://purl.obolibrary.org/obo/GO_0050707>	5	273	0.018315018315018315018315
"positive regulation of neuron differentiation"	<http://purl.obolibrary.org/obo/GO_0045666>	11	602	0.018272425249169435215946
"positive regulation of endocytosis"	<http://purl.obolibrary.org/obo/GO_0045807>	4	219	0.018264840182648401826484
"positive regulation of Wnt signaling pathway"	<http://purl.obolibrary.org/obo/GO_0030177>	3	165	0.018181818181818181818181
"protein sumoylation"	<http://purl.obolibrary.org/obo/GO_0016925>	1	55	0.018181818181818181818181
"regulation of adenylate cyclase activity"	<http://purl.obolibrary.org/obo/GO_0045761>	1	55	0.018181818181818181818181
"regulation of dopamine secretion"	<http://purl.obolibrary.org/obo/GO_0014059>	1	55	0.018181818181818181818181
"sterol homeostasis"	<http://purl.obolibrary.org/obo/GO_0055092>	2	110	0.018181818181818181818181
"membrane fusion"	<http://purl.obolibrary.org/obo/GO_0061025>	3	166	0.018072289156626506024096
"energy reserve metabolic process"	<http://purl.obolibrary.org/obo/GO_0006112>	2	111	0.018018018018018018018018
"negative regulation of MAP kinase activity"	<http://purl.obolibrary.org/obo/GO_0043407>	2	111	0.018018018018018018018018
"peptidyl-tyrosine dephosphorylation"	<http://purl.obolibrary.org/obo/GO_0035335>	6	333	0.018018018018018018018018
"regulation of vasoconstriction"	<http://purl.obolibrary.org/obo/GO_0019229>	2	111	0.018018018018018018018018
"neuron projection development"	<http://purl.obolibrary.org/obo/GO_0031175>	17	945	0.017989417989417989417989
"GTP metabolic process"	<http://purl.obolibrary.org/obo/GO_0046039>	1	56	0.017857142857142857142857
"heme metabolic process"	<http://purl.obolibrary.org/obo/GO_0042168>	1	56	0.017857142857142857142857
"negative regulation of actin filament bundle assembly"	<http://purl.obolibrary.org/obo/GO_0032232>	1	56	0.017857142857142857142857
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	<http://purl.obolibrary.org/obo/GO_0000288>	1	56	0.017857142857142857142857
"positive regulation of calcium ion-dependent exocytosis"	<http://purl.obolibrary.org/obo/GO_0045956>	1	56	0.017857142857142857142857
"positive regulation of heart growth"	<http://purl.obolibrary.org/obo/GO_0060421>	1	56	0.017857142857142857142857
"positive regulation of protein complex disassembly"	<http://purl.obolibrary.org/obo/GO_0043243>	1	56	0.017857142857142857142857
"positive regulation of sprouting angiogenesis"	<http://purl.obolibrary.org/obo/GO_1903672>	1	56	0.017857142857142857142857
"regulation of cholesterol transport"	<http://purl.obolibrary.org/obo/GO_0032374>	1	56	0.017857142857142857142857
"regulation of plasma lipoprotein particle levels"	<http://purl.obolibrary.org/obo/GO_0097006>	1	56	0.017857142857142857142857
"phagocytosis, recognition"	<http://purl.obolibrary.org/obo/GO_0006910>	5	281	0.017793594306049822064056
"myeloid cell differentiation"	<http://purl.obolibrary.org/obo/GO_0030099>	5	282	0.017730496453900709219858
"drug transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0006855>	3	170	0.017647058823529411764705
"circadian rhythm"	<http://purl.obolibrary.org/obo/GO_0007623>	4	227	0.017621145374449339207048
"intracellular receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0030522>	4	227	0.017621145374449339207048
"NADP metabolic process"	<http://purl.obolibrary.org/obo/GO_0006739>	1	57	0.017543859649122807017543
"leukocyte homeostasis"	<http://purl.obolibrary.org/obo/GO_0001776>	2	114	0.017543859649122807017543
"membrane protein proteolysis"	<http://purl.obolibrary.org/obo/GO_0033619>	1	57	0.017543859649122807017543
"mesenchyme morphogenesis"	<http://purl.obolibrary.org/obo/GO_0072132>	1	57	0.017543859649122807017543
"multicellular organismal response to stress"	<http://purl.obolibrary.org/obo/GO_0033555>	2	114	0.017543859649122807017543
"nucleotide-excision repair"	<http://purl.obolibrary.org/obo/GO_0006289>	2	114	0.017543859649122807017543
"positive regulation of glucose metabolic process"	<http://purl.obolibrary.org/obo/GO_0010907>	1	57	0.017543859649122807017543
"positive regulation of interleukin-2 production"	<http://purl.obolibrary.org/obo/GO_0032743>	1	57	0.017543859649122807017543
"positive regulation of ubiquitin-dependent protein catabolic process"	<http://purl.obolibrary.org/obo/GO_2000060>	2	114	0.017543859649122807017543
"regulation of protein autophosphorylation"	<http://purl.obolibrary.org/obo/GO_0031952>	1	57	0.017543859649122807017543
"regulation of translation"	<http://purl.obolibrary.org/obo/GO_0006417>	9	513	0.017543859649122807017543
"regulation of vacuole organization"	<http://purl.obolibrary.org/obo/GO_0044088>	1	57	0.017543859649122807017543
"positive regulation of synaptic transmission"	<http://purl.obolibrary.org/obo/GO_0050806>	4	229	0.017467248908296943231441
"positive regulation of axonogenesis"	<http://purl.obolibrary.org/obo/GO_0050772>	2	115	0.017391304347826086956521
"purine nucleoside metabolic process"	<http://purl.obolibrary.org/obo/GO_0042278>	2	115	0.017391304347826086956521
"intracellular protein transport"	<http://purl.obolibrary.org/obo/GO_0006886>	25	1439	0.017373175816539263377345
"cell redox homeostasis"	<http://purl.obolibrary.org/obo/GO_0045454>	3	173	0.017341040462427745664739
"single fertilization"	<http://purl.obolibrary.org/obo/GO_0007338>	3	173	0.017341040462427745664739
"clathrin-dependent endocytosis"	<http://purl.obolibrary.org/obo/GO_0072583>	1	58	0.017241379310344827586206
"fatty acid catabolic process"	<http://purl.obolibrary.org/obo/GO_0009062>	2	116	0.017241379310344827586206
"negative regulation of apoptotic signaling pathway"	<http://purl.obolibrary.org/obo/GO_2001234>	5	290	0.017241379310344827586206
"negative regulation of protein catabolic process"	<http://purl.obolibrary.org/obo/GO_0042177>	3	174	0.017241379310344827586206
"regulation of G2/M transition of mitotic cell cycle"	<http://purl.obolibrary.org/obo/GO_0010389>	2	116	0.017241379310344827586206
"regulation of chondrocyte differentiation"	<http://purl.obolibrary.org/obo/GO_0032330>	1	58	0.017241379310344827586206
"regulation of neurotransmitter secretion"	<http://purl.obolibrary.org/obo/GO_0046928>	3	175	0.017142857142857142857142
"cellular response to carbohydrate stimulus"	<http://purl.obolibrary.org/obo/GO_0071322>	2	117	0.017094017094017094017094
"alpha-beta T cell differentiation"	<http://purl.obolibrary.org/obo/GO_0046632>	1	59	0.016949152542372881355932
"cell-substrate junction assembly"	<http://purl.obolibrary.org/obo/GO_0007044>	1	59	0.016949152542372881355932
"mammary gland morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060443>	1	59	0.016949152542372881355932
"neurotransmitter biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0042136>	1	59	0.016949152542372881355932
"protein ADP-ribosylation"	<http://purl.obolibrary.org/obo/GO_0006471>	1	59	0.016949152542372881355932
"G protein-coupled receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0007186>	81	4787	0.016920827240442866095675
"central nervous system neuron development"	<http://purl.obolibrary.org/obo/GO_0021954>	2	119	0.0168067226890756302521
"peripheral nervous system development"	<http://purl.obolibrary.org/obo/GO_0007422>	2	119	0.0168067226890756302521
"dopamine receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0007212>	1	60	0.016666666666666666666666
"negative regulation of DNA recombination"	<http://purl.obolibrary.org/obo/GO_0045910>	1	60	0.016666666666666666666666
"negative regulation of proteasomal protein catabolic process"	<http://purl.obolibrary.org/obo/GO_1901799>	1	60	0.016666666666666666666666
"positive regulation of natural killer cell mediated immunity"	<http://purl.obolibrary.org/obo/GO_0002717>	1	60	0.016666666666666666666666
"regulation of T cell differentiation"	<http://purl.obolibrary.org/obo/GO_0045580>	3	180	0.016666666666666666666666
"regulation of defense response to virus"	<http://purl.obolibrary.org/obo/GO_0050688>	2	120	0.016666666666666666666666
"regulation of response to reactive oxygen species"	<http://purl.obolibrary.org/obo/GO_1901031>	1	60	0.016666666666666666666666
"cell-substrate adhesion"	<http://purl.obolibrary.org/obo/GO_0031589>	4	242	0.016528925619834710743801
"glial cell differentiation"	<http://purl.obolibrary.org/obo/GO_0010001>	4	242	0.016528925619834710743801
"response to fatty acid"	<http://purl.obolibrary.org/obo/GO_0070542>	2	121	0.016528925619834710743801
"regulation of double-strand break repair via homologous recombination"	<http://purl.obolibrary.org/obo/GO_0010569>	1	61	0.016393442622950819672131
"tetrapyrrole biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0033014>	1	61	0.016393442622950819672131
"immunoglobulin mediated immune response"	<http://purl.obolibrary.org/obo/GO_0016064>	6	367	0.016348773841961852861035
"cAMP-mediated signaling"	<http://purl.obolibrary.org/obo/GO_0019933>	3	184	0.016304347826086956521739
"cellular response to oxidative stress"	<http://purl.obolibrary.org/obo/GO_0034599>	5	307	0.016286644951140065146579
"regulation of autophagy"	<http://purl.obolibrary.org/obo/GO_0010506>	5	309	0.016181229773462783171521
"cochlea development"	<http://purl.obolibrary.org/obo/GO_0090102>	1	62	0.016129032258064516129032
"negative regulation of mitochondrion organization"	<http://purl.obolibrary.org/obo/GO_0010823>	1	62	0.016129032258064516129032
"positive regulation of protein dephosphorylation"	<http://purl.obolibrary.org/obo/GO_0035307>	1	62	0.016129032258064516129032
"regulation of protein localization to cell surface"	<http://purl.obolibrary.org/obo/GO_2000008>	1	62	0.016129032258064516129032
"zymogen activation"	<http://purl.obolibrary.org/obo/GO_0031638>	1	62	0.016129032258064516129032
"regulation of phosphatidylinositol 3-kinase signaling"	<http://purl.obolibrary.org/obo/GO_0014066>	2	125	0.016
"regulation of synaptic vesicle exocytosis"	<http://purl.obolibrary.org/obo/GO_2000300>	2	125	0.016
"chemical synaptic transmission"	<http://purl.obolibrary.org/obo/GO_0007268>	10	628	0.015923566878980891719745
"detection of temperature stimulus"	<http://purl.obolibrary.org/obo/GO_0016048>	1	63	0.015873015873015873015873
"endothelium development"	<http://purl.obolibrary.org/obo/GO_0003158>	2	126	0.015873015873015873015873
"head morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060323>	1	63	0.015873015873015873015873
"labyrinthine layer development"	<http://purl.obolibrary.org/obo/GO_0060711>	1	63	0.015873015873015873015873
"lipoprotein metabolic process"	<http://purl.obolibrary.org/obo/GO_0042157>	4	252	0.015873015873015873015873
"membrane biogenesis"	<http://purl.obolibrary.org/obo/GO_0044091>	1	63	0.015873015873015873015873
"regulation of microtubule polymerization"	<http://purl.obolibrary.org/obo/GO_0031113>	1	63	0.015873015873015873015873
"regulation of protein binding"	<http://purl.obolibrary.org/obo/GO_0043393>	5	317	0.015772870662460567823343
"mammary gland development"	<http://purl.obolibrary.org/obo/GO_0030879>	3	191	0.015706806282722513089005
"camera-type eye development"	<http://purl.obolibrary.org/obo/GO_0043010>	6	383	0.015665796344647519582245
"Schwann cell development"	<http://purl.obolibrary.org/obo/GO_0014044>	1	64	0.015625
"cellular response to organic cyclic compound"	<http://purl.obolibrary.org/obo/GO_0071407>	12	768	0.015625
"membrane depolarization during action potential"	<http://purl.obolibrary.org/obo/GO_0086010>	1	64	0.015625
"morphogenesis of an epithelial sheet"	<http://purl.obolibrary.org/obo/GO_0002011>	1	64	0.015625
"pyridine nucleotide biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0019363>	3	192	0.015625
"regulation of extrinsic apoptotic signaling pathway via death domain receptors"	<http://purl.obolibrary.org/obo/GO_1902041>	1	64	0.015625
"renal system process"	<http://purl.obolibrary.org/obo/GO_0003014>	2	128	0.015625
"cilium assembly"	<http://purl.obolibrary.org/obo/GO_0060271>	6	386	0.015544041450777202072538
"immune response"	<http://purl.obolibrary.org/obo/GO_0006955>	42	2705	0.0155268022181146025878
"negative regulation of intrinsic apoptotic signaling pathway"	<http://purl.obolibrary.org/obo/GO_2001243>	2	129	0.015503875968992248062015
"visual perception"	<http://purl.obolibrary.org/obo/GO_0007601>	4	259	0.015444015444015444015444
"carbohydrate transport"	<http://purl.obolibrary.org/obo/GO_0008643>	2	130	0.015384615384615384615384
"cranial nerve development"	<http://purl.obolibrary.org/obo/GO_0021545>	1	65	0.015384615384615384615384
"negative regulation of cellular response to insulin stimulus"	<http://purl.obolibrary.org/obo/GO_1900077>	1	65	0.015384615384615384615384
"oxygen transport"	<http://purl.obolibrary.org/obo/GO_0015671>	1	65	0.015384615384615384615384
"regulation of DNA-templated transcription, elongation"	<http://purl.obolibrary.org/obo/GO_0032784>	1	65	0.015384615384615384615384
"regulation of hormone metabolic process"	<http://purl.obolibrary.org/obo/GO_0032350>	1	65	0.015384615384615384615384
"regulation of phagocytosis"	<http://purl.obolibrary.org/obo/GO_0050764>	2	130	0.015384615384615384615384
"regulation of skeletal muscle tissue development"	<http://purl.obolibrary.org/obo/GO_0048641>	1	65	0.015384615384615384615384
"regulation of sodium ion transport"	<http://purl.obolibrary.org/obo/GO_0002028>	2	130	0.015384615384615384615384
"leukocyte chemotaxis"	<http://purl.obolibrary.org/obo/GO_0030595>	3	196	0.015306122448979591836734
"phosphatidylinositol phosphorylation"	<http://purl.obolibrary.org/obo/GO_0046854>	2	131	0.015267175572519083969465
"regulation of cytokine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0042035>	2	131	0.015267175572519083969465
"response to unfolded protein"	<http://purl.obolibrary.org/obo/GO_0006986>	2	131	0.015267175572519083969465
"epidermis development"	<http://purl.obolibrary.org/obo/GO_0008544>	5	329	0.015197568389057750759878
"blood vessel development"	<http://purl.obolibrary.org/obo/GO_0001568>	10	660	0.015151515151515151515151
"cellular response to extracellular stimulus"	<http://purl.obolibrary.org/obo/GO_0031668>	5	330	0.015151515151515151515151
"fatty acid transport"	<http://purl.obolibrary.org/obo/GO_0015908>	2	132	0.015151515151515151515151
"negative regulation of cytokine-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0001960>	1	66	0.015151515151515151515151
"regulation of myotube differentiation"	<http://purl.obolibrary.org/obo/GO_0010830>	1	66	0.015151515151515151515151
"regulation of membrane potential"	<http://purl.obolibrary.org/obo/GO_0042391>	11	729	0.015089163237311385459533
"protein targeting"	<http://purl.obolibrary.org/obo/GO_0006605>	5	332	0.015060240963855421686746
"regulation of lipid metabolic process"	<http://purl.obolibrary.org/obo/GO_0019216>	7	467	0.014989293361884368308351
"cellular response to epidermal growth factor stimulus"	<http://purl.obolibrary.org/obo/GO_0071364>	1	67	0.014925373134328358208955
"negative regulation of muscle cell apoptotic process"	<http://purl.obolibrary.org/obo/GO_0010656>	1	67	0.014925373134328358208955
"positive regulation of protein localization to plasma membrane"	<http://purl.obolibrary.org/obo/GO_1903078>	1	67	0.014925373134328358208955
"regulation of long-term synaptic potentiation"	<http://purl.obolibrary.org/obo/GO_1900271>	1	67	0.014925373134328358208955
"vesicle organization"	<http://purl.obolibrary.org/obo/GO_0016050>	5	336	0.01488095238095238095238
"negative regulation of actin filament polymerization"	<http://purl.obolibrary.org/obo/GO_0030837>	2	135	0.014814814814814814814814
"positive regulation of receptor signaling pathway via JAK-STAT"	<http://purl.obolibrary.org/obo/GO_0046427>	2	135	0.014814814814814814814814
"regulation of dendritic spine development"	<http://purl.obolibrary.org/obo/GO_0060998>	2	135	0.014814814814814814814814
"negative regulation of neuron differentiation"	<http://purl.obolibrary.org/obo/GO_0045665>	5	339	0.014749262536873156342182
"regulation of ERK1 and ERK2 cascade"	<http://purl.obolibrary.org/obo/GO_0070372>	6	407	0.014742014742014742014742
"cellular response to vascular endothelial growth factor stimulus"	<http://purl.obolibrary.org/obo/GO_0035924>	1	68	0.014705882352941176470588
"endocytic recycling"	<http://purl.obolibrary.org/obo/GO_0032456>	1	68	0.014705882352941176470588
"regulation of histone acetylation"	<http://purl.obolibrary.org/obo/GO_0035065>	1	68	0.014705882352941176470588
"regulation of potassium ion transmembrane transport"	<http://purl.obolibrary.org/obo/GO_1901379>	2	136	0.014705882352941176470588
"regulation of transcription by RNA polymerase II"	<http://purl.obolibrary.org/obo/GO_0006357>	46	3135	0.014673046251993620414673
"positive regulation of mitotic cell cycle"	<http://purl.obolibrary.org/obo/GO_0045931>	3	205	0.014634146341463414634146
"synapse organization"	<http://purl.obolibrary.org/obo/GO_0050808>	6	410	0.014634146341463414634146
"signal transduction"	<http://purl.obolibrary.org/obo/GO_0007165>	168	11485	0.014627775359164127122333
"cardiac muscle cell contraction"	<http://purl.obolibrary.org/obo/GO_0086003>	1	69	0.014492753623188405797101
"myeloid leukocyte differentiation"	<http://purl.obolibrary.org/obo/GO_0002573>	2	138	0.014492753623188405797101
"negative regulation of mitotic nuclear division"	<http://purl.obolibrary.org/obo/GO_0045839>	1	69	0.014492753623188405797101
"positive regulation of innate immune response"	<http://purl.obolibrary.org/obo/GO_0045089>	5	346	0.014450867052023121387283
"cerebral cortex cell migration"	<http://purl.obolibrary.org/obo/GO_0021795>	1	70	0.014285714285714285714285
"determination of heart left/right asymmetry"	<http://purl.obolibrary.org/obo/GO_0061371>	1	70	0.014285714285714285714285
"female gonad development"	<http://purl.obolibrary.org/obo/GO_0008585>	2	140	0.014285714285714285714285
"synaptic vesicle transport"	<http://purl.obolibrary.org/obo/GO_0048489>	2	140	0.014285714285714285714285
"female pregnancy"	<http://purl.obolibrary.org/obo/GO_0007565>	4	282	0.014184397163120567375886
"response to drug"	<http://purl.obolibrary.org/obo/GO_0042493>	22	1552	0.014175257731958762886597
"activation of innate immune response"	<http://purl.obolibrary.org/obo/GO_0002218>	3	213	0.01408450704225352112676
"cell-cell recognition"	<http://purl.obolibrary.org/obo/GO_0009988>	1	71	0.01408450704225352112676
"morphogenesis of a branching structure"	<http://purl.obolibrary.org/obo/GO_0001763>	3	213	0.01408450704225352112676
"negative regulation of cell cycle G2/M phase transition"	<http://purl.obolibrary.org/obo/GO_1902750>	1	71	0.01408450704225352112676
"positive regulation of epithelial cell differentiation"	<http://purl.obolibrary.org/obo/GO_0030858>	1	71	0.01408450704225352112676
"positive regulation of interleukin-1 production"	<http://purl.obolibrary.org/obo/GO_0032732>	1	71	0.01408450704225352112676
"regulation of cytokinesis"	<http://purl.obolibrary.org/obo/GO_0032465>	2	142	0.01408450704225352112676
"regulation of fat cell differentiation"	<http://purl.obolibrary.org/obo/GO_0045598>	2	142	0.01408450704225352112676
"hindbrain development"	<http://purl.obolibrary.org/obo/GO_0030902>	3	214	0.014018691588785046728971
"positive regulation of stress-activated MAPK cascade"	<http://purl.obolibrary.org/obo/GO_0032874>	3	215	0.013953488372093023255813
"cartilage development involved in endochondral bone morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060351>	1	72	0.013888888888888888888888
"glycosaminoglycan metabolic process"	<http://purl.obolibrary.org/obo/GO_0030203>	2	144	0.013888888888888888888888
"intermediate filament-based process"	<http://purl.obolibrary.org/obo/GO_0045103>	1	72	0.013888888888888888888888
"mucosal immune response"	<http://purl.obolibrary.org/obo/GO_0002385>	1	72	0.013888888888888888888888
"neural tube formation"	<http://purl.obolibrary.org/obo/GO_0001841>	2	144	0.013888888888888888888888
"positive regulation of alpha-beta T cell activation"	<http://purl.obolibrary.org/obo/GO_0046635>	1	72	0.013888888888888888888888
"regulation of ARF protein signal transduction"	<http://purl.obolibrary.org/obo/GO_0032012>	1	72	0.013888888888888888888888
"regulation of anion transport"	<http://purl.obolibrary.org/obo/GO_0044070>	2	144	0.013888888888888888888888
"tissue regeneration"	<http://purl.obolibrary.org/obo/GO_0042246>	1	72	0.013888888888888888888888
"calcium ion import"	<http://purl.obolibrary.org/obo/GO_0070509>	1	73	0.013698630136986301369863
"negative regulation of lipid biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0051055>	1	73	0.013698630136986301369863
"neuroepithelial cell differentiation"	<http://purl.obolibrary.org/obo/GO_0060563>	1	73	0.013698630136986301369863
"neurotrophin signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038179>	1	73	0.013698630136986301369863
"regulation of DNA-templated transcription in response to stress"	<http://purl.obolibrary.org/obo/GO_0043620>	1	73	0.013698630136986301369863
"regulation of membrane permeability"	<http://purl.obolibrary.org/obo/GO_0090559>	1	73	0.013698630136986301369863
"response to exogenous dsRNA"	<http://purl.obolibrary.org/obo/GO_0043330>	1	73	0.013698630136986301369863
"response to pH"	<http://purl.obolibrary.org/obo/GO_0009268>	1	73	0.013698630136986301369863
"camera-type eye morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048593>	2	147	0.013605442176870748299319
"regulation of T cell proliferation"	<http://purl.obolibrary.org/obo/GO_0042129>	3	221	0.013574660633484162895927
"regulation of apoptotic process"	<http://purl.obolibrary.org/obo/GO_0042981>	30	2211	0.013568521031207598371777
"forebrain development"	<http://purl.obolibrary.org/obo/GO_0030900>	7	517	0.013539651837524177949709
"chromatin silencing"	<http://purl.obolibrary.org/obo/GO_0006342>	1	74	0.013513513513513513513513
"endoplasmic reticulum organization"	<http://purl.obolibrary.org/obo/GO_0007029>	1	74	0.013513513513513513513513
"regulation of myoblast differentiation"	<http://purl.obolibrary.org/obo/GO_0045661>	1	74	0.013513513513513513513513
"response to electrical stimulus"	<http://purl.obolibrary.org/obo/GO_0051602>	1	74	0.013513513513513513513513
"regulation of synapse assembly"	<http://purl.obolibrary.org/obo/GO_0051963>	2	149	0.013422818791946308724832
"cellular response to fatty acid"	<http://purl.obolibrary.org/obo/GO_0071398>	1	75	0.013333333333333333333333
"porphyrin-containing compound metabolic process"	<http://purl.obolibrary.org/obo/GO_0006778>	1	75	0.013333333333333333333333
"positive regulation of tyrosine phosphorylation of STAT protein"	<http://purl.obolibrary.org/obo/GO_0042531>	1	75	0.013333333333333333333333
"nervous system development"	<http://purl.obolibrary.org/obo/GO_0007399>	44	3312	0.013285024154589371980676
"phagocytosis, engulfment"	<http://purl.obolibrary.org/obo/GO_0006911>	4	304	0.013157894736842105263157
"protein hydroxylation"	<http://purl.obolibrary.org/obo/GO_0018126>	1	76	0.013157894736842105263157
"regulation of interferon-gamma production"	<http://purl.obolibrary.org/obo/GO_0032649>	2	152	0.013157894736842105263157
"regulation of protein kinase B signaling"	<http://purl.obolibrary.org/obo/GO_0051896>	3	228	0.013157894736842105263157
"regulation of substrate adhesion-dependent cell spreading"	<http://purl.obolibrary.org/obo/GO_1900024>	1	76	0.013157894736842105263157
"regulation of toll-like receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0034121>	1	76	0.013157894736842105263157
"synaptic vesicle recycling"	<http://purl.obolibrary.org/obo/GO_0036465>	1	76	0.013157894736842105263157
"translational elongation"	<http://purl.obolibrary.org/obo/GO_0006414>	1	76	0.013157894736842105263157
"cell projection organization"	<http://purl.obolibrary.org/obo/GO_0030030>	20	1527	0.013097576948264571054354
"response to amino acid"	<http://purl.obolibrary.org/obo/GO_0043200>	2	153	0.013071895424836601307189
"fertilization"	<http://purl.obolibrary.org/obo/GO_0009566>	3	230	0.013043478260869565217391
"negative regulation of striated muscle tissue development"	<http://purl.obolibrary.org/obo/GO_0045843>	1	77	0.012987012987012987012987
"nucleotide catabolic process"	<http://purl.obolibrary.org/obo/GO_0009166>	3	231	0.012987012987012987012987
"Golgi to plasma membrane transport"	<http://purl.obolibrary.org/obo/GO_0006893>	1	78	0.01282051282051282051282
"endothelial cell development"	<http://purl.obolibrary.org/obo/GO_0001885>	1	78	0.01282051282051282051282
"nucleic acid phosphodiester bond hydrolysis"	<http://purl.obolibrary.org/obo/GO_0090305>	7	550	0.012727272727272727272727
"complement activation, classical pathway"	<http://purl.obolibrary.org/obo/GO_0006958>	4	316	0.012658227848101265822784
"plasma membrane organization"	<http://purl.obolibrary.org/obo/GO_0007009>	2	158	0.012658227848101265822784
"positive regulation of cytokine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0042108>	1	79	0.012658227848101265822784
"positive regulation of intracellular protein transport"	<http://purl.obolibrary.org/obo/GO_0090316>	2	158	0.012658227848101265822784
"protein trimerization"	<http://purl.obolibrary.org/obo/GO_0070206>	1	79	0.012658227848101265822784
"positive regulation of T cell activation"	<http://purl.obolibrary.org/obo/GO_0050870>	3	238	0.012605042016806722689075
"regulation of glucose metabolic process"	<http://purl.obolibrary.org/obo/GO_0010906>	2	159	0.012578616352201257861635
"T cell activation involved in immune response"	<http://purl.obolibrary.org/obo/GO_0002286>	1	80	0.0125
"inositol lipid-mediated signaling"	<http://purl.obolibrary.org/obo/GO_0048017>	2	160	0.0125
"negative regulation of muscle tissue development"	<http://purl.obolibrary.org/obo/GO_1901862>	1	80	0.0125
"aging"	<http://purl.obolibrary.org/obo/GO_0007568>	5	401	0.012468827930174563591022
"positive regulation of peptidase activity"	<http://purl.obolibrary.org/obo/GO_0010952>	3	242	0.012396694214876033057851
"response to glucocorticoid"	<http://purl.obolibrary.org/obo/GO_0051384>	3	242	0.012396694214876033057851
"antigen processing and presentation of exogenous antigen"	<http://purl.obolibrary.org/obo/GO_0019884>	1	81	0.012345679012345679012345
"regulation of RNA splicing"	<http://purl.obolibrary.org/obo/GO_0043484>	3	243	0.012345679012345679012345
"regulation of interleukin-1 beta production"	<http://purl.obolibrary.org/obo/GO_0032651>	1	81	0.012345679012345679012345
"regulation of protein processing"	<http://purl.obolibrary.org/obo/GO_0070613>	1	81	0.012345679012345679012345
"blastocyst development"	<http://purl.obolibrary.org/obo/GO_0001824>	2	163	0.012269938650306748466257
"cellular response to drug"	<http://purl.obolibrary.org/obo/GO_0035690>	6	489	0.012269938650306748466257
"regulation of dendrite development"	<http://purl.obolibrary.org/obo/GO_0050773>	3	245	0.012244897959183673469387
